# VarAstro Metadata Begin
# ObservationId: 110560
# StarName: HD189733
# RA: 20h 00m 43.70s (300.1820833333)
# DE: +22° 42' 39.00" (22.7108333333)
# ObserverName: Vittorio Tortorella
# Station: De Ritis Telescope of the Federico II University
# Latitude: 40
# Longitude: 14
# Filter: Clear
# JD: GJD
# Unit: Mag
# VarAstro Metadata End
JD mag_rel
2460957.345386 0.024461
2460957.345629 -0.005199
2460957.345872 0.026480
2460957.346116 0.018110
2460957.346358 0.031696
2460957.346601 0.023785
2460957.346844 0.018306
2460957.347086 0.013341
2460957.347329 0.036626
2460957.347571 0.013561
2460957.347814 0.030826
2460957.348056 0.017398
2460957.348300 0.030759
2460957.348543 0.013621
2460957.348786 0.019151
2460957.349029 0.037644
2460957.349272 0.022639
2460957.349515 0.018410
2460957.349758 0.012027
2460957.350001 0.004204
2460957.350244 0.016326
2460957.350486 0.008378
2460957.350729 0.033740
2460957.350971 0.045662
2460957.351215 -0.010763
2460957.351457 -0.003660
2460957.351699 -0.002818
2460957.351942 0.021271
2460957.352185 0.034438
2460957.352427 0.038025
2460957.352670 0.036882
2460957.352913 0.015689
2460957.353156 0.003859
2460957.353400 -0.008967
2460957.353643 0.032185
2460957.353885 0.045114
2460957.354128 0.026325
2460957.354372 0.035284
2460957.354614 0.010120
2460957.354856 0.024835
2460957.355099 0.006677
2460957.355341 0.019820
2460957.355585 0.021214
2460957.355828 0.008571
2460957.356070 0.015936
2460957.356313 0.013189
2460957.356556 0.007358
2460957.356799 0.035685
2460957.357042 0.030343
2460957.357284 0.012881
2460957.357527 0.046804
2460957.357771 0.006083
2460957.358014 0.008089
2460957.358257 0.019919
2460957.358500 0.007782
2460957.358743 -0.017615
2460957.358986 0.015918
2460957.359228 0.023468
2460957.359471 -0.021917
2460957.359714 0.011891
2460957.359957 -0.000830
2460957.360201 -0.017714
2460957.360443 0.004150
2460957.360685 0.027870
2460957.360929 0.018717
2460957.361172 0.046640
2460957.361415 0.018753
2460957.361658 -0.000985
2460957.361900 0.055755
2460957.362143 0.023592
2460957.362385 0.053038
2460957.362629 0.005668
2460957.362871 0.031847
2460957.363113 0.046177
2460957.363356 0.033054
2460957.363599 0.044884
2460957.363843 0.038392
2460957.364086 0.034298
2460957.364328 0.008673
2460957.364571 -0.005448
2460957.364814 0.020988
2460957.365057 0.014307
2460957.365300 -0.003312
2460957.365543 0.022595
2460957.365786 -0.000797
2460957.366028 -0.018707
2460957.366271 0.007597
2460957.366513 0.008999
2460957.366756 0.016126
2460957.366998 0.015822
2460957.367241 0.016081
2460957.367485 0.023048
2460957.367727 0.016853
2460957.367970 0.001140
2460957.368212 0.026660
2460957.368455 0.017902
2460957.368697 0.005962
2460957.368940 0.031438
2460957.369183 0.007094
2460957.369425 0.013219
2460957.369667 0.008408
2460957.369911 -0.007029
2460957.370154 0.012053
2460957.370396 0.008028
2460957.370639 0.008151
2460957.370882 0.001890
2460957.371125 0.020384
2460957.371368 -0.017144
2460957.371611 0.029885
2460957.371853 0.022952
2460957.372096 0.024886
2460957.372338 0.007181
2460957.372582 0.001289
2460957.372824 0.037196
2460957.373066 0.007808
2460957.373309 0.000700
2460957.373552 -0.002278
2460957.377992 0.020413
2460957.378234 -0.005506
2460957.378476 -0.013422
2460957.378719 -0.023232
2460957.378962 -0.014604
2460957.379204 -0.009729
2460957.379446 -0.010705
2460957.379689 -0.027470
2460957.379931 -0.030474
2460957.380174 0.000673
2460957.380417 -0.016679
2460957.380660 -0.025546
2460957.380903 -0.043182
2460957.381146 0.007448
2460957.381389 -0.014536
2460957.381631 -0.004388
2460957.381874 -0.038375
2460957.382117 -0.040295
2460957.382360 -0.011178
2460957.382603 0.001905
2460957.382845 -0.018960
2460957.383088 -0.064406
2460957.383331 -0.017582
2460957.383574 -0.010222
