JD flux_target flux_comp flux_rel
2460957.296095174 2995657.820880958 866051.3529991534 0.9951889800871031
2460957.2963375812 3016415.0873802323 865632.4286609327 1.0025697226379235
2460957.2965805787 2984110.950180814 786755.3872936645 1.091270057728585
2460957.296822986 2991984.049525498 860255.675692865 1.000665036329126
2460957.297065 2987293.3453727607 843093.2615815358 1.0194343227488383
2460957.297307766 2979120.5047069434 845200.8423500147 1.0141101926864595
2460957.297551296 3002298.0662071514 856771.2669135404 1.0081981854602742
2460957.2977942363 2994942.5050586173 859762.242747734 1.0022293552434351
2460957.2980371644 3028090.903447733 856920.5564357347 1.016682494305862
2460957.298279572 3056646.4252086123 849679.1322714526 1.0350164469376928
2460957.298522685 2990884.699895848 852002.9136762639 1.0099865479191332
2460957.2987645604 2988610.8691543816 855632.673552147 1.0049374004310792
2460957.299007755 2973378.463793292 865778.7307643912 0.9880985849384052
2460957.2992505324 2988529.1656395085 835483.9493368949 1.0291445674534712
2460957.2994927545 2976917.1996005997 847771.5572662355 1.010287341986948
2460957.2997363657 2971360.5354093895 857096.4983222843 0.9974304637894068
2460957.299979479 2940813.637362519 857697.528415204 0.9864846760738654
2460957.3002228704 3003292.941814365 851459.0997303193 1.0148244042922774
2460957.3004664006 2968040.1218835185 856554.3904776662 0.9969464247237336
2460957.300709178 3022626.5019434583 844541.0304509031 1.0297237517618323
2460957.300952315 3019606.9435397172 849899.7752392656 1.022208997427277
2460957.3011954743 2997166.890649841 850154.3837878698 1.0143086428092565
2460957.3014376387 2939471.537438999 859283.0107474857 0.9842151194964438
2460957.3016808564 2995988.3661689474 857349.453782746 1.0054008438716715
2460957.301924236 3043082.574814287 845059.8761896772 1.0360560564406034
2460957.302167153 3002408.510140088 861609.3510674697 1.002573859672964
2460957.3024102314 2999426.059735131 851964.799695912 1.0129161769345967
2460957.3026533565 3004898.308265802 832196.1830134365 1.0388696481221333
2460957.302895799 2993853.811762177 826822.2126919255 1.0417786503180102
2460957.3031380554 2963098.8523839596 831251.122977093 1.0255831893315692
2460957.3033805555 2969516.053339035 858462.9163571444 0.9952246778795814
2460957.3036237382 2984945.003886501 849188.4519293985 1.0113215290181465
2460957.30386603 2950968.030719504 861741.2055817485 0.9852459151694578
2460957.304109213 3007130.022486002 852035.0517496741 1.0154340992842124
2460957.304351308 2990495.9056803775 845976.2184379508 1.017049418575988
2460957.304594109 3006267.440042999 858296.3830194141 1.0077372894524834
2460957.304836794 2993297.114394807 848160.372965781 1.015380567270971
2460957.305080069 2912885.086085711 838535.3588891968 0.9994451615521528
2460957.305323426 2981112.8460462224 850160.8420212116 1.0088679293628446
2460957.305566447 2998050.6496117963 857542.2554589411 1.0058667094167133
2460957.30580941 2975559.459773985 843234.2141427044 1.0152603175754944
2460957.306052616 2996527.021345439 848577.0415682901 1.0159770996655744
2460957.3062959723 2945135.369113979 848601.9493833137 0.9985233717531798
2460957.306538704 2974718.1546070366 849692.3746030846 1.007258872240151
2460957.306781574 2972232.6635827646 852550.3620358713 1.003043476479151
2460957.307024919 2961098.9521835963 859532.3712962385 0.9911689335939481
2460957.30726816 2979034.760678999 860653.5337700074 0.9958735843558889
2460957.307510845 3002503.710927702 840645.848254615 1.027608004929719
2460957.3077533334 2946667.0205456843 816190.5167447693 1.0387152703764364
2460957.307996898 2954451.4046594286 832663.403657037 1.020855732611954
2460957.3082400346 3018715.930512705 836645.7695346123 1.0380962579673239
2460957.3084821063 2963387.7220999836 847227.6445875481 1.006341441266356
2460957.308725787 2999038.7776399753 846338.5001844163 1.0195181976803553
2460957.308968935 2983982.965403684 855596.4490158268 1.0034237229764948
2460957.3092122916 2963259.5732309557 843645.2160032608 1.0105710349304384
2460957.30945544 3007873.8255607868 841925.1077209321 1.0278817414806836
2460957.3096984606 2990101.6190194865 842588.2656746923 1.021004226369288
2460957.309941354 2963634.500798549 851435.2033528964 1.0014517682734445
2460957.310184398 2972856.2800663374 852219.0014775126 1.0036440152929376
2460957.3104274073 2997548.559453737 840808.6234047106 1.0257134925111242
2460957.3106694096 2999503.592691885 836130.1928935793 1.0321254300315743
2460957.310912396 2921475.349542662 849443.7588719444 0.9895200415202425
2460957.311155301 2965984.9459756846 855608.2498326908 0.9973577743030434
2460957.311398403 2928512.931732492 845367.2306137346 0.9966868661625111
2460957.3116415627 2981166.6370492023 856110.3239779403 1.001874945990749
2460957.3118843865 2963566.194136589 842598.5498009007 1.0119310525367133
2460957.3121272917 2950633.6317568915 850916.5397911989 0.9976663428862155
2460957.312370463 2981842.7800120227 856408.8702782782 1.0017528407020602
2460957.3126125117 2961625.1877481225 853476.5827256796 0.9983791061634174
2460957.3128555673 2956415.5360538573 854419.4755912098 0.9955230845721349
2460957.31309831 2994150.38101768 856523.719711982 1.0057527133310133
2460957.313340926 2937872.8283008076 833166.65862762 1.0145141498200436
2460957.313583993 2940064.0030894363 847742.4774209026 0.9978145636526842
2460957.313826655 2931475.214529975 855205.5979125936 0.9862174666362097
2460957.3140692823 2977393.2443297217 842141.0943417781 1.0172046494714302
2460957.3143113772 2931859.3401352307 844250.5052067436 0.9991456449495875
2460957.314554838 2892223.2114207908 845028.1221414278 0.9847310752480474
2460957.3147969907 2930130.030381323 838071.1430760736 1.005918984850942
2460957.315040324 2928611.066040875 841323.1945684177 1.0015112570665439
2460957.3152837385 2942710.2779665496 842685.4595369336 1.0047060192379478
2460957.315526111 2935847.739533299 829145.1776487299 1.0187319978191023
2460957.3157683103 2920262.0865478734 836453.1874394978 1.0044705031050114
2460957.3160117706 2921815.273473257 847772.7120647164 0.9915858479031329
2460957.316254792 2913479.328649813 827097.2083729409 1.0134734697181518
2460957.3164972453 2896718.166334906 845853.8445515183 0.9852987088212073
2460957.3167394213 2939011.405845273 845893.7531380857 0.9996372982825362
2460957.316982604 2951108.832528365 842001.4293599888 1.0083920090929517
2460957.317224734 2891877.083743405 846190.2362512426 0.9832610101424026
2460957.317468241 2882751.0024258085 844520.5607033187 0.9820959108220654
2460957.3177116434 2919849.8341713427 839555.7044367329 1.0006172787379417
2460957.317955 2917475.280302183 849185.9198956732 0.9884652330560324
2460957.3181979745 2910244.6338714478 833260.1561424789 1.0048607424495248
2460957.318441123 2892098.005384523 839557.2568561524 0.9911050393978347
2460957.318684248 2910677.3771182373 845311.3960187837 0.9906821654644594
2460957.3189274073 2927534.889560074 841479.3881286752 1.0009574017896752
