jd,flux,target_raw,comp1,comp2,comp3,comp4
2460957.3106694096,-4.008549863138655,-456.54691206843563,93.45207860567098,282.72647811736897,833.1739895491701,1569.9862078670412
2460957.310912396,-19.13866783578174,-429.37737756351635,191.67269971487985,272.36535934964195,66.15663015458995,17.288537015258044
2460957.311155301,-92.56158549832627,-391.8592322181066,-219.7771903765679,-133.81742309765104,397.45024589845707,59.45443899685051
2460957.311398403,7.398137712370074,-354.89465649757767,38.625598068541876,196.93992107961822,-416.7953466587787,-989.402229574087
2460957.3116415627,4.485092039711347,-525.6248408841711,-345.75940960378284,-465.6629099323327,-1013.103217135762,-1035.3549571399562
2460957.3118843865,1.9008493113973588,-199.10176417496405,-272.87050227991494,-115.83657786490221,-926.5817520895616,-1240.7696254669754
2460957.3121272917,7.990577825552272,-397.6246910863265,189.7588441475964,236.5056980817062,-878.1057466516795,-762.4938236375892
2460957.312370463,-2.426398123179605,125.75658570819724,-13.266241341050772,57.18286013291436,-631.369882416715,-677.3181468856783
2460957.3126125117,2.8012796497699775,-123.69965471695468,166.6949179251751,89.30871657123134,-842.4204747382028,-491.1777060112654
2460957.3128555673,-0.432366291285294,29.614180919874343,-32.40542551902763,21.979577884259925,-1001.1252353225718,-659.8907262993889
2460957.31309831,4.136846636587923,-223.13529038735578,152.21150332052275,120.74768545183179,-746.0193076028736,-843.2014619886068
2460957.313340926,-20.887561533390375,554.0736961165421,174.79703104906002,290.429306651622,-514.7856402534198,-597.7668518052196
2460957.313583993,-15.1646229388609,479.2732274276932,227.5353544309728,98.4316851533149,-686.0354350423477,-411.18114282166425
2460957.313826655,-10.681941084447843,-164.79407823523798,480.3694719992927,480.64973421589093,-367.4147001134552,-217.13068075983392
2460957.3140692823,3.748509061032399,-290.3748222836657,-204.0385848450387,-42.40854515247702,-880.7397626117818,-763.1697846819261
2460957.3143113772,134.31031401818407,-788.1062517322316,-144.92547000016202,-111.29976011211693,71.22826680287108,41.804957790147455
2460957.314554838,-96.98303452908233,-504.12287759860556,16.393155149751692,161.58293459464767,150.43153703479766,-201.55951655726676
2460957.3147969907,10.588590649326946,-516.8193559441388,-46.065971069307125,-161.51352605881038,-255.9837913926567,-727.5250569346717
2460957.315040324,6.752382436493741,-341.6291106304052,-259.4633681605337,-220.24782171033075,-264.7631582587346,-490.1680946376837
2460957.3152837385,4.051183126517733,-190.06514702427012,44.69153277354417,-29.105578030892502,-710.6564582074352,-449.82005641640717
2460957.315526111,3.9719964451340157,-259.4376133424885,-273.4014841914832,-264.2437255905461,-563.4734789640315,-492.8047352057438
2460957.3157683103,1.6826484945331273,-144.565345824838,-215.9896081426923,-289.4842522058352,-854.4595813672786,-736.659704869282
2460957.3160117706,4.073558346898817,-260.04517500518705,-266.3085666359257,-343.7545717732937,-292.6193892209376,-655.1408703691195
2460957.316254792,5.947052075707771,-188.3185324489059,34.564076321239554,59.748275313304475,-475.43050670243974,-391.6241397377198
2460957.3164972453,-0.5526335710243884,29.193310098453367,177.66089075868877,220.23713000665884,-879.8446742680753,-807.1617529819778
2460957.3167394213,3.5110881721482796,-135.81444871910207,22.478533886940568,92.8980708849922,-458.92222058990956,-600.4013677104522
2460957.316982604,-1.8697377249038754,85.22314542119057,241.44435691715626,359.478269800642,-636.3107072708408,-1076.9075523157444
2460957.317224734,-1.5779752459349934,82.07300875823785,-162.60116648682742,-253.26275696901212,-367.116116630692,-486.2593226676436
2460957.317468241,2.0054371071613275,-47.14617610241112,76.60052974068822,-42.85318952489979,-313.14164192027965,-294.3003367841593
2460957.3177116434,29.31164846330764,-298.6101774464878,14.435516005021782,-55.14759577066798,-224.08839917533987,16.196700102598697
2460957.317955,6.325116257633177,-177.98572992297704,117.54526440498375,61.10424436966423,-462.4086957007348,-402.9297256414684
2460957.3181979745,5.916712918631439,122.5771918497012,452.5509529958181,529.6648425847343,-214.461608948317,-262.19438614110186
2460957.318441123,-139.06633676414273,-207.228888586189,340.3238332672845,302.35171150068345,-446.5870718945298,-159.72447307645052
2460957.318684248,-0.10513907124608861,5.910749959813984,68.89297320982587,24.972074183689983,-545.5683523772095,-920.194670699213
2460957.3189274073,10.25201732772196,-231.3975741008835,-60.98094445618699,-147.79995885213066,-15.250096824551292,-326.76760751326583
2460957.319169919,4.2768530844712895,-147.96900866064243,423.5520364320073,330.8036535303654,-916.258043904214,-682.3840505952867
2460957.3194119213,-8.318593679232267,248.57932944132335,-37.00705421026214,14.685830275022454,-501.56145789705624,-205.3371379984601
2460957.3196553355,-54.019593544149075,-258.7149811302006,17.81752487445192,74.84825612775239,-103.40503550713402,127.61210303681946
2460957.319898727,3.720312214802796,27.551595990367787,180.70522571009496,165.5037856609306,-135.08800814887582,-30.399122730763338
2460957.32014103,14.86458176207004,177.94485198128314,122.81652571619998,298.5698819376412,-99.11515910689559,-30.141289589293592
2460957.3203832987,-13.145399948438047,226.153377173403,-239.53612248320132,-126.24747169176044,41.54315959714586,-95.58876128874545
2460957.3206269676,0.22380794921067276,-3.350046775340161,136.34178471938867,280.8240446015807,-428.3048924766117,-354.13490858530713
2460957.3208691203,-4.463633974066112,103.04361191386852,-94.91893348844314,-98.02357619255781,-211.85244168712597,-158.55188853378422
2460957.3211115394,-1.708142199063335,11.433049480296177,80.08239869900353,4.218000862030749,-114.59585998768671,-133.04035491707327
2460957.321355093,7.805463379703706,45.1419908391581,-31.965640900576545,1.1746424647099047,117.34515125905091,54.57780993806227
2460957.321598669,-3.842665505689272,154.79412589134154,-120.76962742421529,-91.84060884548308,-400.4283326682489,-369.9880043438279
2460957.321841678,-5.461452550672365,-104.79327016857133,254.07524342194301,329.2575406419346,19.687646675429278,-134.78034358981677
2460957.322083727,-2.143568118825398,43.90727136807982,-233.58477584976572,-300.0401624377446,24.528668484213995,9.243016527270811
2460957.322326898,-3.5745517217214884,188.3442472753195,192.96534121982768,88.9868853579137,-771.7950395301086,-795.959308611029
2460957.3225697107,-17.301375696665954,-198.06906691659606,-10.08844176828643,-20.07787028322491,183.1721408281701,126.36392334125412
2460957.3228124073,-5.228331632823051,-74.80438474328548,3.477034877803817,104.42016969399265,-20.063410134443984,261.31238320566626
2460957.323055417,13.788771150932567,40.815823072272906,317.26702644248144,247.6225794876591,-319.0506187100473,-173.60420652931862
2460957.323297442,-2.4551060007876497,58.508570572030294,-183.428384374678,-75.32029292046718,-181.88991856320717,-140.91882763269678
2460957.3235403937,5.917604797310845,-198.3888136872447,-249.89413215405148,-163.26024266219247,-88.75115865261614,-316.2099014961568
2460957.323782523,-13.555438257276851,-237.97797944495687,306.23147381675153,474.4157405571168,-163.43516565209939,-188.79516951728874
